Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country,Number of Billionaires,NumberOfBillionaires_x,NumberOfBillionaires_y
699,4.0,48,United States,Atlanta,Technology,True,M,Chestnut,Ben,1974,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,75,United States,Unknown,Food & Beverage,False,F,DeLuca,Elisabeth,1947,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,56,China,Shanghai,Diversified,True,M,Guo,Guangchang,1967,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
699,4.0,77,India,Delhi,Manufacturing,False,F,Gupta,Vinod Rai,1945,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
699,4.0,73,United States,Boca Raton,Sports,True,M,Henry,John,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,46,United States,Los Angeles,Technology,True,M,Kalanick,Travis,1976,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,61,Malaysia,Petaling Jaya,Manufacturing,True,M,Koon,Poh Keong,1961,121.46,0.7,364701517788,45.1%,105.3%,76.0,32447385,2476,11,11
699,4.0,51,United States,Atlanta,Technology,True,M,Kurzius,Dan,1971,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,65,China,Yuxi,Manufacturing,True,M,Lee,Paul,1958,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
699,4.0,42,Canada,Ottawa,Technology,True,M,Lutke,Tobi,1980,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
699,4.0,79,United States,Salt Lake City,Automotive,True,F,Miller,Gail,1943,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,63,India,Delhi,Telecom,False,M,Mittal,Rajan,1960,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
699,4.0,67,India,Delhi,Telecom,False,M,Mittal,Rakesh,1955,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
699,4.0,80,United States,Palm Beach,Media & Entertainment,True,M,Perlmutter,Isaac,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,90,United States,Chevy Chase,Finance & Investments,False,M,Saul,Bernard,1932,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,68,Italy,Milan,Telecom,True,M,Shani,Shaul,1955,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
699,4.0,76,United States,Pacific Palisades,Media & Entertainment,True,M,Spielberg,Steven,1946,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
699,4.0,75,Poland,Konstancin,Healthcare,True,M,Starak,Jerzy,1947,114.11,2.2,592164400688,67.8%,100.0%,77.6,37970874,2476,5,5
699,4.0,69,Switzerland,Geneva,Energy,True,M,Tornqvist,Torbjorn,1953,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
699,4.0,74,Mexico,Mexico City,Metals & Mining,True,M,Vigil Gonzalez,Rufino,1948,141.54,3.6,1258286717125,40.2%,105.8%,75.0,126014024,2476,13,13
699,4.0,73,China,Shaoxing,Diversified,True,M,Zhang,Daocai,1950,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
721,3.9,76,Germany,Bruchsal,Manufacturing,False,M,Blickle,Juergen,1947,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
721,3.9,72,United States,Livingston,Food & Beverage,False,M,Cargill,Austen,1951,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,73,United States,Birchwood,Food & Beverage,False,M,Cargill,James,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,91,Thailand,Bangkok,Finance & Investments,True,M,Chaiyawan,Vanich,1932,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
721,3.9,65,China,Beijing,Finance & Investments,True,M,Chen,Dongsheng,1957,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
721,3.9,85,South Korea,Seoul,Automotive,False,M,Chung,Mong-Koo,1938,115.16,0.4,2029000000000,94.3%,98.1%,82.6,51709098,2476,29,29
721,3.9,83,Italy,Treviso,Fashion & Retail,False,M,De'Longhi,Giuseppe,1939,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
721,3.9,83,Germany,Hamburg,Healthcare,True,M,Fielmann,Guenther,1939,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
721,3.9,94,United States,Dallas,Energy,False,M,Hunt,W. Herbert,1929,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,63,United States,Carmel,Sports,False,M,Irsay,James,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,64,Thailand,Bangkok,Diversified,False,F,Jaruphnit,Somurai,0,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
721,3.9,69,United States,Bozeman,Food & Beverage,False,F,Liebmann,Marianne,1953,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,78,Brazil,Rio de Janeiro,Healthcare,True,M,Moll Filho,Jorge,1945,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
721,3.9,76,Brazil,Sao Paulo,Diversified,False,M,Moreira Salles,Fernando Roberto,1946,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
721,3.9,63,Brazil,Sao Paulo,Diversified,False,M,Moreira Salles,Pedro,1959,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
721,3.9,60,United States,Seattle,Gambling & Casinos,True,M,Newell,Gabe,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,56,Germany,Bielefeld,Fashion & Retail,False,M,Oetker,Alfred,1967,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
721,3.9,50,Germany,Bielefeld,Fashion & Retail,False,M,Oetker,Carl Ferdinand,1972,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
721,3.9,44,Germany,Bielefeld,Fashion & Retail,False,F,Oetker,Julia,1979,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
721,3.9,62,China,Jiaxing,Manufacturing,True,M,Ruan,Hongliang,1961,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
721,3.9,63,United States,Steamboat Springs,Finance & Investments,True,M,Stevens,Mark,1960,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
721,3.9,79,India,Mumbai,Food & Beverage,False,M,Wadia,Nusli,1944,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
721,3.9,73,China,Shijiazhuang,Healthcare,True,M,Wu,Yiling,1949,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
721,3.9,57,China,Ningbo,Manufacturing,True,M,Yu,Renrong,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
721,3.9,60,China,Shenzhen,Healthcare,True,M,Zhu,Baoguo,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
748,3.8,63,India,Delhi,Service,False,M,Bhatia,Rahul,1959,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
748,3.8,80,Italy,Rome,Construction & Engineering,True,M,Caltagirone,Francesco Gaetano,1943,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
748,3.8,81,United States,New York,Media & Entertainment,True,M,Diller,Barry,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,61,United States,New York,Finance & Investments,True,M,Edens,Wesley,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,63,United States,New York,Finance & Investments,True,M,Feinberg,Stephen,1960,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,69,United States,Miami,Service,True,M,Gangwal,Rakesh,1953,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,61,United States,Chicago,Food & Beverage,True,M,Grendys,Joseph,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,87,United States,Nashville,Media & Entertainment,False,F,Ingram,Martha,1935,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,41,China,Beijing,Automotive,True,M,Li,Xiang,1981,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
748,3.8,64,United States,Dallas,Real Estate,False,M,Perot,H. Ross,1958,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,82,India,Mumbai,Real Estate,False,M,Raheja,Chandru,1940,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
748,3.8,71,United States,Dallas,Energy,True,M,Rees-Jones,Trevor,1951,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,58,Japan,Tokyo,Telecom,True,M,Shigeta,Yasumitsu,1965,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
748,3.8,54,China,Xiamen,Healthcare,True,M,Su,Qingcan,1969,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
748,3.8,77,United States,Westlake,Service,True,M,Udvar-Hazy,Steven,1946,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,77,United States,Lake Forest,Manufacturing,True,F,Uihlein,Elizabeth,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
748,3.8,77,United States,Lake Forest,Manufacturing,True,M,Uihlein,Richard,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,51,United States,Austin,Finance & Investments,True,M,Barnard,Hayes,1972,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,76,United States,Coconut Grove,Finance & Investments,True,M,Berkley,William,1946,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,71,United States,New York,Real Estate,False,M,Cohen,Charles,1952,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,56,United Kingdom,London,Real Estate,True,M,Gabay,Yakir,1966,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
766,3.7,59,China,Wuhan,Technology,True,M,Huang,Li,1963,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
766,3.7,66,United States,Greenwich,Logistics,True,M,Jacobs,Brad,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,56,China,Shanghai,Real Estate,True,M,Ji,Qi,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
766,3.7,50,China,Shanghai,Media & Entertainment,True,M,Jiang,Jason,1973,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
766,3.7,60,United States,St. Louis,Technology,True,M,Kavanaugh,Jim,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,77,United States,New York,Real Estate,False,M,LeFrak,Richard,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,47,Kazakhstan,Almaty,Finance & Investments,True,M,Lomtadze,Mikhail,1975,182.75,5.2,180161741180,61.7%,104.4%,73.2,18513930,2476,7,7
766,3.7,68,United Kingdom,Merseyside,Fashion & Retail,True,M,Morris,Tom,1954,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
766,3.7,78,Japan,Kyoto,Manufacturing,True,M,Nagamori,Shigenobu,1944,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
766,3.7,62,United States,Miami Beach,Finance & Investments,True,M,Och,Daniel,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,88,Chile,Santiago,Fashion & Retail,True,M,Paulmann,Horst,1935,131.91,2.6,282318159745,88.5%,101.4%,80.0,18952038,2476,6,6
766,3.7,62,United States,Los Angeles,Service,False,M,Pritzker,Anthony,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,75,United States,Cary,Technology,True,M,Sall,John,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,69,United States,Seattle,Food & Beverage,True,M,Schultz,Howard,1953,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,82,United States,Naples,Fashion & Retail,True,M,Schulze,Richard,1941,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
766,3.7,74,Israel,Netanya,Real Estate,True,M,Tshuva,Yitzhak,1948,108.15,0.8,395098666122,63.4%,104.9%,82.8,9053300,2476,26,26
766,3.7,56,China,Wuxi,Manufacturing,True,M,Wang,Yanqing,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
787,3.6,56,India,Pune,Diversified,False,M,Bajaj,Rajiv,1966,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
787,3.6,53,India,Pune,Diversified,False,M,Bajaj,Sanjiv,1969,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
787,3.6,71,Italy,Florence,Finance & Investments,True,M,Boguslavsky,Leonid,1951,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
787,3.6,63,United States,San Francisco,Finance & Investments,True,M,Coulter,Jim,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,47,Switzerland,Anzere,Automotive,False,M,D'Ieteren,Nicolas ,1975,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
787,3.6,82,Canada,Vancouver,Real Estate,True,M,Gaglardi,Bob,1941,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
787,3.6,65,United Kingdom,London,Finance & Investments,False,M,Gilinski Bacal,Jaime,1957,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
787,3.6,59,Switzerland,Geneva,Finance & Investments,True,M,Howard,Alan,1963,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
787,3.6,61,China,Beijing,Automotive,True,M,Huang,Yi,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
787,3.6,80,United States,Short Hills,Finance & Investments,False,M,Kellogg,Peter,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,53,Kazakhstan,Almaty,Finance & Investments,True,M,Kim,Vyacheslav,1969,182.75,5.2,180161741180,61.7%,104.4%,73.2,18513930,2476,7,7
787,3.6,37,United States,New York City,Finance & Investments,True,M,Kushner,Josh,1985,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,67,United States,Greenwich,Finance & Investments,True,M,Mandel,Stephen,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,75,United Kingdom,London,Diversified,True,M,Mansour,Mohamed,1948,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
787,3.6,67,Japan,Tokyo,Fashion & Retail,True,M,Miki,Masahiro,1955,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
787,3.6,84,Japan,Tokyo,Technology,True,M,Noda,Masahiro,1938,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
787,3.6,37,Australia,Sydney,Technology,True,M,Obrecht,Cliff,1985,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
787,3.6,35,Australia,Sydney,Technology,True,F,Perkins,Melanie,1987,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
787,3.6,58,United States,Springfield,Finance & Investments,False,M,Pritzker,J.B.,1965,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,73,Spain,Valencia,Fashion & Retail,False,M,Roig,Juan,1949,110.96,0.7,1394116310769,88.9%,102.7%,83.3,47076781,2476,25,25
787,3.6,82,United States,New York,Real Estate,True,M,Speyer,Jerry,1940,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
787,3.6,63,Switzerland,Geneva,Fashion & Retail,True,M,Stroll,Lawrence,1959,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
787,3.6,60,China,Chengdu,Food & Beverage,True,M,Wang,Junlin,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
787,3.6,61,China,Shenzhen,Automotive,True,M,Xia,Zuoquan,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
787,3.6,57,China,Shenzhen,Technology,True,F,Zeng,Fangqin,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
787,3.6,54,China,Tianjin,Manufacturing,True,M,Zhang,Jian,1969,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,33,United States,Los Angeles,Fashion & Retail,False,M,Basilico,Rocco,1989,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,65,Brazil,Sao Paulo,Healthcare,False,M,Billi,Maurizio,1957,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
818,3.5,62,China,Fuzhou,Finance & Investments,True,M,Chen,Fashu,1960,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,87,Italy,Cernusco Lombardone,Manufacturing,True,M,Crippa,Giuseppe,1935,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,76,United States,Vienna,Finance & Investments,True,M,D'Aniello,Daniel,1946,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,66,United States,Muttontown,Fashion & Retail,False,M,Del Vecchio,Claudio,1957,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,18,Italy,Milan,Fashion & Retail,False,M,Del Vecchio,Clemente,2004,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,27,Italy,Milan,Fashion & Retail,False,M,Del Vecchio,Leonardo Maria,1995,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,21,Italy,Milan,Fashion & Retail,False,M,Del Vecchio,Luca,2001,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,64,Italy,Rome,Fashion & Retail,False,F,Del Vecchio,Marisa,1958,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,61,Luxembourg,Luxembourg,Fashion & Retail,False,F,Del Vecchio,Paola,1961,115.09,1.7,71104919108,19.2%,102.3%,82.1,645397,2476,1,1
818,3.5,70,Germany,Dusseldorf,Finance & Investments,True,M,Droege,Walter P.J.,1952,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
818,3.5,57,China,Xian,Fashion & Retail,True,F,Fan ,Daidi,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,58,United States,Pleasanton,Technology,True,M,Gassner,Peter,1965,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,65,Russia,Moscow,Energy,True,M,Gutseriev,Mikhail,1958,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
818,3.5,54,China,Beijing,Food & Beverage,True,M,Leng,Youbin,1969,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,61,United States,New York,Finance & Investments,True,M,Loeb,Daniel,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,60,Switzerland,Davos,Food & Beverage,False,F,Louis-Dreyfus,Margarita,1962,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
818,3.5,90,Thailand,Bangkok,Healthcare,True,M,Prasarttong-Osoth,Prasert,1933,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
818,3.5,88,United States,New York,Finance & Investments,True,M,Rennert,Ira,1934,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,76,Germany,Lower-Saxony,Fashion & Retail,True,M,Rossmann,Dirk,1946,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
818,3.5,71,Russia,Moscow,Construction & Engineering,True,M,Rotenberg,Arkady,1951,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
818,3.5,61,Italy,Como,Fashion & Retail,True,M,Ruffini,Remo,1961,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
818,3.5,64,Germany,Northeim,Healthcare,False,F,Sartorius-Herbst,Karin,0,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
818,3.5,66,India,Delhi,Automotive,True,M,Sehgal,Vivek Chaand,1956,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
818,3.5,45,United States,New York,Finance & Investments,True,M,Shleifer,Scott,1977,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,70,United States,Woodside,Technology,True,M,Siebel,Thomas,1952,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,75,Netherlands,Eindhoven,Manufacturing,False,M,van der Leegte,Wim,1947,115.91,2.6,909070395161,85.0%,104.2%,81.8,17332850,2476,10,10
818,3.5,58,China,Beijing,Diversified,True,M,Xiao,Yongming,1964,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,54,United States,Los Altos Hills,Technology,True,M,Xie,Michael,1969,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
818,3.5,65,China,Qingdao,Logistics,True,M,Yang,Shaopeng,1958,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
818,3.5,65,Monaco,Monaco,Fashion & Retail,False,F,Zampillo,Nicoletta,1958,0.0,0.0,7184844193,0.0%,0.0%,0.0,38964,2476,17,17
818,3.5,56,Canada,Windsor,Manufacturing,False,M,Zekelman,Barry,1967,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
852,3.4,56,United States,New York,Finance & Investments,True,M,Ackman,William,1966,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,55,Thailand,Bangkok,Energy,True,M,Ahunai,Somphote,1967,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
852,3.4,52,Russia,Yekaterinburg,Metals & Mining,True,M,Altushkin,Igor,1970,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
852,3.4,69,Philippines,Manila,Food & Beverage,True,M,Ang,Ramon,1954,129.61,2.5,376795508680,35.5%,107.5%,71.1,108116615,2476,14,14
852,3.4,50,India,Haridwar,Food & Beverage,True,M,Balkrishna,Acharya,1972,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
852,3.4,52,Switzerland,Wilen bei Wollerau,Manufacturing,False,M,Blocher,Markus,1971,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
852,3.4,64,South Korea,Seoul,Finance & Investments,False,M,Cho,Jung-ho,1958,115.16,0.4,2029000000000,94.3%,98.1%,82.6,51709098,2476,29,29
852,3.4,63,Italy,Milan,Food & Beverage,False,F,Garavoglia,Alessandra,1960,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
852,3.4,84,Switzerland,Gstaad,Fashion & Retail,True,M,Graff,Laurence,1938,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
852,3.4,86,United States,Boston,Media & Entertainment,True,M,Hostetter,Amos,1937,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,75,United States,Palm Beach,Sports,False,M,Johnson,Robert ,1947,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,66,United States,New York,Finance & Investments,True,M,Klinsky,Steven,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,62,United States,New York,Fashion & Retail,False,M,Lauder,William,1960,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,68,United States,Bryn Mawr,Food & Beverage,False,M,Middleton,John,1955,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,58,Japan,Tokyo,Fashion & Retail,True,M,Mikitani,Hiroshi,1965,105.48,0.5,5081769542380,63.2%,98.8%,84.2,126226568,2476,38,38
852,3.4,72,United States,Scottsdale,Technology,True,M,Parsons,Bob,1950,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,81,United States,Little Jackson Hole,Finance & Investments,True,M,Ricketts,J. Joe,1941,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,88,United States,Indianapolis,Real Estate,True,M,Simon,Herb,1934,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,65,India,Mumbai,Healthcare,False,F,Tewari,Leena,1957,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
852,3.4,59,Germany,Stuttgart,Media & Entertainment,False,M,von Holtzbrinck,Stefan,1963,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
852,3.4,81,Switzerland,Zug,Food & Beverage,False,M,Wild,Hans Peter,1941,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
852,3.4,54,China,Chongqing,Healthcare,True,M,Wu,Guanjiang,1968,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
852,3.4,52,China,Hangzhou,Technology,True,M,Yi,Zheng,1970,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
852,3.4,53,United States,Santa Clara,Technology,True,M,Yuan,Eric,1970,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
852,3.4,75,United States,New York,Media & Entertainment,True,M,Zegar,Charles,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
878,3.3,75,France,Montpellier,Construction & Engineering,True,M,Altrad,Mohed,1948,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
878,3.3,49,United States,Houston,Finance & Investments,True,M,Arnold,John,1974,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
878,3.3,81,United States,Brownsville,Manufacturing,True,M,Austin,Bill,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
