,Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country
386,383,6.6,78,United States,New York,Finance & Investments,TRUE,M,Kovner,Bruce,1945,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
387,383,6.6,63,United States,Newport Coast,Technology,TRUE,M,Nicholas,Henry,1959,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
388,383,6.6,47,Germany,Munich,Finance & Investments,FALSE,F,Thiele,Nadia,1976,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
389,390,6.5,80,United States,Fort Worth,Finance & Investments,TRUE,M,Bonderman,David,1942,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
390,390,6.5,58,United States,Medina,Technology,FALSE,F,French Gates,Melinda,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
392,390,6.5,93,United States,Chevy Chase,Real Estate,FALSE,F,Lerner,Annette,1930,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
393,390,6.5,84,United Kingdom,London,Real Estate,TRUE,M,Reuben,David,1938,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
394,390,6.5,81,Monaco,Monaco,Diversified,TRUE,M,Reuben,Simon,1941,0,0,7184844193,0.00%,0.00%,0,38964
395,390,6.5,51,Switzerland,Crans Montana,Real Estate,TRUE,M,Vitek,Radovan,1971,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
396,397,6.4,71,Sweden,Gothenberg,Finance & Investments,TRUE,M,Bennet,Carl,1951,110.51,1.8,5.30833E+11,67.00%,126.60%,82.5,10285453
397,397,6.4,62,United States,Hobe Sound,Sports,TRUE,M,Bisciotti,Stephen,1960,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
398,397,6.4,69,United States,New York,Finance & Investments,TRUE,M,Druckenmiller,Stanley,1953,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
399,397,6.4,59,China,Beijing,Healthcare,TRUE,F,Jian,Jun,1963,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
400,397,6.4,60,France,Paris,Energy,TRUE,M,Kuzmichev,Alexei,1962,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
401,397,6.4,56,Monaco,Monaco,Manufacturing,TRUE,M,Rybolovlev,Dmitry,1966,0,0,7184844193,0.00%,0.00%,0,38964
402,397,6.4,90,Colombia,Bogota,Finance & Investments,TRUE,M,Sarmiento,Luis Carlos,1933,140.95,3.5,3.23803E+11,55.30%,114.50%,77.1,50339443
403,397,6.4,88,United States,Missoula,Logistics,TRUE,M,Washington,Dennis,1934,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
404,405,6.3,77,United Kingdom,Gloucestershire,Construction & Engineering,FALSE,M,Bamford,Anthony,1945,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
405,405,6.3,58,China,Changzhou,Energy,TRUE,M,Gao,Jifan,1965,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
406,405,6.3,66,United Kingdom,London,Finance & Investments,TRUE,M,Grayken,John,1956,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
407,405,6.3,85,France,Lyon,Healthcare,FALSE,M,Merieux,Alain,1938,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
408,405,6.3,59,China,Langfang,Energy,TRUE,M,Wang,Yusuo,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
409,405,6.3,96,Israel,Tel Aviv,Manufacturing,TRUE,M,Wertheimer,Stef,1926,108.15,0.8,3.95099E+11,63.40%,104.90%,82.8,9053300
410,411,6.2,59,Mexico,Mexico City,Food & Beverage,FALSE,F,Aramburuzabala,Maria Asuncion,1963,141.54,3.6,1.25829E+12,40.20%,105.80%,75,126014024
411,411,6.2,85,Sweden,Stockholm,Diversified,TRUE,M,Douglas,Gustaf,1938,110.51,1.8,5.30833E+11,67.00%,126.60%,82.5,10285453
412,411,6.2,89,Netherlands,Amsterdam,Service,TRUE,M,Goldschmeding,Frits,1933,115.91,2.6,9.0907E+11,85.00%,104.20%,81.8,17332850
413,411,6.2,59,China,Shenzhen,Food & Beverage,TRUE,M,Lin,Muqin,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
414,411,6.2,59,China,Ningbo,Manufacturing,TRUE,M,Ruan,Liping,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
415,411,6.2,51,China,Ningbo,Manufacturing,TRUE,M,Ruan,Xueping,1972,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
416,411,6.2,60,Poland,Kielce,Finance & Investments,TRUE,M,Solowow,Michal,1962,114.11,2.2,5.92164E+11,67.80%,100.00%,77.6,37970874
417,418,6.1,69,Nigeria,Lagos,Diversified,TRUE,M,Adenuga,Mike,1953,267.51,11.4,4.4812E+11,10.20%,84.70%,54.3,200963599
418,418,6.1,58,United States,Beverly Hills,Finance & Investments,TRUE,M,Gores,Tom,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
419,418,6.1,79,Germany,Hamburg,Fashion & Retail,FALSE,M,Herz,Michael,1943,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
420,418,6.1,72,Germany,Hamburg,Fashion & Retail,FALSE,M,Herz,Wolfgang,1951,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
424,425,6,64,Russia,Moscow,Metals & Mining,TRUE,M,Abramov,Alexander,1959,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
425,425,6,46,Austria,Unknown,Real Estate,TRUE,M,Benko,Rene,1977,118.06,1.5,4.46315E+11,85.10%,103.10%,81.6,8877067
426,425,6,85,United States,Chicago,Real Estate,TRUE,M,Bluhm,Neil,1938,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
427,425,6,74,Canada,Montreal,Fashion & Retail,TRUE,M,Bouchard,Alain,1949,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
428,425,6,63,United States,Reno,Technology,TRUE,M,Chaudhry,Jay,1959,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
429,425,6,65,India,Mumbai,Fashion & Retail,TRUE,M,Damani,Gopikishan,1958,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
430,425,6,88,Thailand,Bangkok,Diversified,FALSE,M,Jiaravanon,Sumet,1934,113.27,0.7,5.4365E+11,49.30%,99.80%,76.9,69625582
432,425,6,92,Israel,Tel Aviv,Finance & Investments,TRUE,M,Lowy,Frank,1930,108.15,0.8,3.95099E+11,63.40%,104.90%,82.8,9053300
433,425,6,76,United States,Los Angeles,Finance & Investments,TRUE,M,Milken,Michael,1946,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
434,425,6,71,United States,St. Louis,Technology,TRUE,M,Steward,David,1951,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
435,425,6,85,United States,New Albany,Fashion & Retail,TRUE,M,Wexner,Les,1937,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
436,437,5.9,60,China,Chengdu,Real Estate,TRUE,M,Cai,Kui,1963,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
437,437,5.9,93,Thailand,Bangkok,Diversified,FALSE,M,Chiaravanont,Jaran,1930,113.27,0.7,5.4365E+11,49.30%,99.80%,76.9,69625582
438,437,5.9,61,United States,Darien,Finance & Investments,TRUE,M,Halvorsen,Andreas,1961,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
439,437,5.9,62,United States,Los Angeles,Finance & Investments,TRUE,M,Ressler,Antony,1960,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
440,437,5.9,66,China,Shanghai,Food & Beverage,FALSE,M,Tsai,Eng-meng,1957,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
441,442,5.8,58,United States,Miami,Finance & Investments,TRUE,M,Harris,Josh,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
442,442,5.8,75,Denmark,Humlebaek,Healthcare,FALSE,M,Louis-Hansen,Niels Peter,1947,110.35,0.8,3.48078E+11,80.60%,101.30%,81,5818553
443,442,5.8,70,United States,Los Angeles,Healthcare,TRUE,M,Soon-Shiong,Patrick,1952,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
444,445,5.7,56,Ukraine,Donetsk,Metals & Mining,TRUE,M,Akhmetov,Rinat,1966,281.66,7.9,1.53781E+11,82.70%,99.00%,71.6,44385155
445,445,5.7,88,United States,Atlanta,Healthcare,TRUE,M,Brown,John,1934,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
447,445,5.7,93,Canada,Saint John,Energy,FALSE,M,Irving,Arthur,1930,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
448,445,5.7,71,Sweden,Stockholm,Real Estate,FALSE,M,Lundberg,Fredrik,1951,110.51,1.8,5.30833E+11,67.00%,126.60%,82.5,10285453
449,445,5.7,77,Switzerland,Jona,Construction & Engineering,FALSE,M,Schmidheiny,Thomas,1945,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
451,445,5.7,51,United States,New York,Finance & Investments,FALSE,M,Ziff,Daniel,1971,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
452,445,5.7,59,United States,North Palm Beach,Finance & Investments,FALSE,M,Ziff,Dirk,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
453,445,5.7,56,United States,New York,Finance & Investments,FALSE,M,Ziff,Robert,1966,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
454,455,5.6,41,Greece,Unknown,Logistics,FALSE,F,Angelicoussis,Maria,1982,101.87,0.2,2.09853E+11,136.60%,99.60%,81.3,10716322
455,455,5.6,79,United States,Dallas,Energy,FALSE,M,Hunt,Ray Lee,1943,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
456,455,5.6,52,China,Shanghai,Logistics,TRUE,M,Lai,Meisong,1970,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
457,455,5.6,81,India,Delhi,Automotive,FALSE,M,Lal,Vikram,1942,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
458,455,5.6,87,United States,Sands Point,Finance & Investments,TRUE,M,Langone,Ken,1935,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
459,455,5.6,56,China,Shanghai,Healthcare,TRUE,M,Li,Ge,1967,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
460,455,5.6,65,United States,Branford,Finance & Investments,FALSE,F,Pritzker,Karen,1958,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
461,455,5.6,69,United States,Dallas,Service,FALSE,M,Rowling,Robert,1953,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
462,455,5.6,51,Israel,Tel Aviv,Gambling & Casinos,TRUE,M,Sagi,Teddy,1971,108.15,0.8,3.95099E+11,63.40%,104.90%,82.8,9053300
463,455,5.6,65,South Korea,Seoul,Healthcare,TRUE,M,Seo,Jung-jin,1957,115.16,0.4,2.029E+12,94.30%,98.10%,82.6,51709098
464,455,5.6,59,China,Ningbo,Automotive,TRUE,M,Wu,Jianshu,1964,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
465,466,5.5,73,United States,Bal Harbour,Service,FALSE,M,Arison,Micky,1949,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
466,466,5.5,65,United States,Palisades,Media & Entertainment,FALSE,M,Chambers,James,1957,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
468,466,5.5,32,United States,San Francisco,Technology,TRUE,M,Collison,John,1990,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
469,466,5.5,34,United States,San Francisco,Technology,TRUE,M,Collison,Patrick,1988,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
470,466,5.5,93,United States,Redding,Manufacturing,TRUE,M,Emmerson,Archie Aldis,1929,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
471,466,5.5,77,Italy,Modena,Automotive,FALSE,M,Ferrari,Piero,1945,110.62,0.6,2.00124E+12,61.90%,101.90%,82.9,60297396
472,466,5.5,58,United States,Houston,Automotive,FALSE,M,Friedkin,Dan,1965,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
473,466,5.5,95,Canada,Saint John,Diversified,FALSE,M,Irving,James,1928,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
474,466,5.5,68,China,Chengdu,Manufacturing,TRUE,M,Jiang,Weiping,1955,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
475,466,5.5,81,Germany,Heidelberg,Healthcare,TRUE,M,Marguerre,Wolfgang,1941,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
476,466,5.5,58,Germany,Ulm,Finance & Investments,FALSE,M,Merckle,Ludwig,1965,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
477,466,5.5,66,United States,Potomac,Manufacturing,TRUE,M,Rales,Mitchell,1956,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
478,466,5.5,78,United States,East Hampton,Media & Entertainment,FALSE,F,Rayner,Katharine,1945,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
480,466,5.5,78,United States,New York,Finance & Investments,TRUE,M,Singer,Paul,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
481,466,5.5,80,Italy,Venice,Healthcare,TRUE,M,Stevanato,Sergio,1943,110.62,0.6,2.00124E+12,61.90%,101.90%,82.9,60297396
482,466,5.5,80,United States,Southampton,Media & Entertainment,FALSE,F,Taylor,Margaretta,1942,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
483,466,5.5,68,Australia,Sydney,Technology,TRUE,M,White,Richard,1955,119.8,1.6,1.39268E+12,113.10%,100.30%,82.7,25766605
484,466,5.5,56,China,Beijing,Diversified,TRUE,F,Zhao,Yan,1967,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
485,486,5.4,77,Italy,Milan,Fashion & Retail,TRUE,M,Bertelli,Patrizio,1946,110.62,0.6,2.00124E+12,61.90%,101.90%,82.9,60297396
486,486,5.4,81,India,Mumbai,Manufacturing,FALSE,M,Choksi,Mahendra,1941,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
487,486,5.4,43,United States,Bloomfield Hills,Finance & Investments,FALSE,M,Ishbia,Mat,1980,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
488,486,5.4,68,Singapore,Singapore,Technology,TRUE,M,Koguan,Leo,1955,114.41,0.6,3.72063E+11,84.80%,100.60%,83.1,5703569
489,486,5.4,58,China,Suzhou,Diversified,TRUE,M,Miao,Hangen,1965,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
490,486,5.4,77,Switzerland,Lucerne,Manufacturing,TRUE,M,Pieper,Michael,1946,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
491,486,5.4,73,Italy,Milan,Fashion & Retail,FALSE,F,Prada,Miuccia,1949,110.62,0.6,2.00124E+12,61.90%,101.90%,82.9,60297396
492,486,5.4,70,Germany,Passau,Fashion & Retail,FALSE,M,Reimann,Wolfgang,1952,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
493,486,5.4,58,Germany,Munich,Fashion & Retail,FALSE,M,Reimann-Andersen,Matthias,1965,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
494,486,5.4,59,Austria,Vienna,Fashion & Retail,FALSE,M,Reimann-Andersen,Stefan,1963,118.06,1.5,4.46315E+11,85.10%,103.10%,81.6,8877067
495,486,5.4,71,Austria,Vienna,Fashion & Retail,FALSE,F,Reimann-Haas,Renate,1951,118.06,1.5,4.46315E+11,85.10%,103.10%,81.6,8877067
496,497,5.3,49,United States,Darien,Finance & Investments,TRUE,M,Boehly,Todd,1973,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
497,497,5.3,64,United States,Los Angeles,Real Estate,TRUE,M,Caruso,Rick,1959,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
498,497,5.3,60,Turkey,Istanbul,Manufacturing,TRUE,M,Erdemoglu,Ibrahim,1962,234.44,15.2,7.54412E+11,23.90%,93.20%,77.4,83429615
499,497,5.3,59,United States,Boston,Finance & Investments,FALSE,F,Johnson,Elizabeth,1963,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
500,497,5.3,65,United States,Atherton,Finance & Investments,TRUE,M,Leone,Douglas,1957,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
501,497,5.3,78,Indonesia,Jakarta,Diversified,FALSE,M,Pangestu,Prajogo,1944,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
502,497,5.3,72,United States,Chicago,Finance & Investments,FALSE,M,Pritzker,Thomas,1950,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
503,497,5.3,80,United States,Beverly Hills,Food & Beverage,TRUE,F,Resnick,Lynda,1943,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
504,497,5.3,86,United States,Beverly Hills,Food & Beverage,TRUE,M,Resnick,Stewart,1936,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
505,497,5.3,78,United States,Atlanta,Service,FALSE,M,Rollins,Gary,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
506,497,5.3,62,United States,Chicago,Finance & Investments,TRUE,M,Walter,Mark,1960,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
507,497,5.3,81,United States,Saint Petersburg,Manufacturing,TRUE,M,Wanek,Ronald,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
508,497,5.3,77,Germany,Visbek,Food & Beverage,TRUE,M,Wesjohann,Erich,1945,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
509,497,5.3,67,United Arab Emirates,Abu Dhabi,Fashion & Retail,TRUE,M,Yusuff Ali,M.A.,1955,114.52,-1.9,4.21142E+11,36.80%,108.40%,77.8,9770529
510,511,5.2,56,United States,Greenwich,Finance & Investments,TRUE,M,Behring,Alexandre,1967,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
511,511,5.2,53,China,Foshan,Food & Beverage,TRUE,F,Cheng,Xue,1970,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
512,511,5.2,59,United States,Charleston,Real Estate,TRUE,M,Faith,Robert,1963,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
513,511,5.2,71,China,Changshu,Fashion & Retail,TRUE,M,Gao,Dekang,1952,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
514,511,5.2,71,United Arab Emirates,Dubai,Fashion & Retail,FALSE,M,Jagtiani,Micky,1951,114.52,-1.9,4.21142E+11,36.80%,108.40%,77.8,9770529
515,511,5.2,85,Malaysia,Kuala Lumpur,Telecom,TRUE,M,Krishnan,Ananda,1938,121.46,0.7,3.64702E+11,45.10%,105.30%,76,32447385
517,511,5.2,82,United States,Islamorada,Food & Beverage,FALSE,M,Rich,Robert,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
518,511,5.2,49,United Kingdom,Isle of Man,Gambling & Casinos,TRUE,M,Scheinberg,Mark,1973,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
519,511,5.2,74,United States,Medina,Technology,TRUE,M,Simonyi,Charles,1948,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
520,511,5.2,78,United States,Oak Brook,Real Estate,TRUE,M,Warner,Ty,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
521,511,5.2,81,United States,Chicago,Real Estate,TRUE,M,Zell,Sam,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
522,523,5.1,49,China,Beijing,Manufacturing,TRUE,M,Fang,Wei,1973,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
523,523,5.1,59,India,Mumbai,Finance & Investments,FALSE,F,Jhunjhunwala,Rekha,1963,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
524,523,5.1,90,United States,Palm Beach,Finance & Investments,FALSE,M,Johnson,Charles B.,1933,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
525,523,5.1,49,South Korea,Seoul,Media & Entertainment,TRUE,M,Kwon,Hyuk-bin,1974,115.16,0.4,2.029E+12,94.30%,98.10%,82.6,51709098
526,523,5.1,61,United States,Miami Beach,Finance & Investments,TRUE,M,Mnaymneh,Sami,1961,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
527,523,5.1,64,Norway,Vettre,Logistics,TRUE,M,Rokke,Kjell Inge,1958,120.27,2.2,4.03336E+11,82.00%,100.30%,82.8,5347896
528,523,5.1,65,United States,New York,Finance & Investments,TRUE,M,Tamer,Tony,1957,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
530,523,5.1,75,United States,Palo Alto,Technology,TRUE,M,Wadhwani,Romesh T.,1947,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
531,523,5.1,88,United States,Wilson,Healthcare,TRUE,M,Wyss,Hansjoerg,1935,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
532,523,5.1,72,United States,Youngstown,Sports,FALSE,F,York,Denise,1950,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
533,534,5,79,United States,New York,Finance & Investments,TRUE,M,Baron,Ron,1943,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
534,534,5,75,United States,Fort Worth,Energy,FALSE,M,Bass,Robert,1948,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
535,534,5,55,Switzerland,Gstaad,Healthcare,FALSE,F,Bertarelli,Dona,1968,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
536,534,5,43,United Kingdom,London,Finance & Investments,TRUE,M,Gerko,Alexander,1979,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
537,534,5,69,Switzerland,Zurich,Technology,FALSE,M,Haefner,Martin,1954,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
538,534,5,56,United States,Boston,Telecom,TRUE,M,Hale,Robert,1966,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
539,534,5,50,Russia,Moscow,Healthcare,TRUE,M,Kharitonin,Viktor,1972,180.75,4.5,1.69988E+12,81.90%,102.60%,72.7,144373535
540,534,5,57,South Korea,Seoul,Technology,TRUE,M,Kim,Beom-su,1966,115.16,0.4,2.029E+12,94.30%,98.10%,82.6,51709098
541,534,5,50,United States,New York,Fashion & Retail,FALSE,F,Lauder,Jane,1973,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
542,534,5,83,France,Lille,Fashion & Retail,FALSE,M,Leclercq,Michel,1939,110.05,1.1,2.71552E+12,65.60%,102.50%,82.5,67059887
543,534,5,78,United States,San Anselmo,Media & Entertainment,TRUE,M,Lucas,George,1944,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
544,534,5,86,United States,Houston,Sports,FALSE,F,McNair,Janice,1936,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
545,534,5,57,Germany,Mainz,Healthcare,TRUE,M,Sahin,Ugur,1965,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
546,534,5,64,Germany,Munich,Real Estate,FALSE,F,Schoerghuber,Alexandra,1958,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
547,534,5,59,Switzerland,Basel,Healthcare,FALSE,M,Straumann,Thomas,1963,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
548,534,5,64,Turkey,Istanbul,Food & Beverage,FALSE,M,Ulker,Murat,1959,234.44,15.2,7.54412E+11,23.90%,93.20%,77.4,83429615
549,534,5,66,Canada,Vancouver,Fashion & Retail,TRUE,M,Wilson,Chip,1957,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
550,534,5,64,China,Beijing,Real Estate,FALSE,F,Zhu,Yan,0,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
551,552,4.9,79,United States,Newton,Manufacturing,TRUE,M,Davis,Jim,1943,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
552,552,4.9,72,India,Hyderabad,Healthcare,TRUE,M,Divi,Murali,1951,180.44,7.7,2.611E+12,28.10%,113.00%,69.4,1366417754
553,552,4.9,81,United States,San Francisco,Technology,FALSE,F,Dolby,Dagmar,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
554,552,4.9,64,Argentina,Buenos Aires,Technology,TRUE,M,Galperin,Marcos,0,232.75,53.5,4.49663E+11,90.00%,109.70%,76.5,44938712
555,552,4.9,81,United States,Naples,Service,TRUE,M,Golisano,Tom,1941,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
556,552,4.9,53,United States,New York,Finance & Investments,TRUE,M,Gray,Jonathan,1970,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
557,552,4.9,67,Georgia,Tbilisi,Finance & Investments,TRUE,M,Ivanishvili,Bidzina,1956,133.61,4.9,17743195770,63.90%,98.60%,73.6,3720382
558,552,4.9,94,Indonesia,Jakarta,Metals & Mining,TRUE,M,Lim,Hariyanto Wijaya Sarwono,1928,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
559,552,4.9,77,Switzerland,Binningen,Healthcare,TRUE,M,Maag,Rudolf,1946,99.55,0.4,7.03082E+11,59.60%,105.20%,83.6,8574832
560,552,4.9,86,Canada,Montreal,Food & Beverage,FALSE,M,Saputo,Emanuele (Lino),1937,116.76,1.9,1.73643E+12,68.90%,100.90%,81.9,36991981
561,552,4.9,72,United States,Phoenix,Automotive,FALSE,M,Shoen,Mark,1950,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
562,552,4.9,58,United States,Potomac,Sports,TRUE,M,Snyder,Dan,1964,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
563,552,4.9,60,Indonesia,Jakarta,Diversified,TRUE,M,Tanjung,Chairul,1962,151.18,3,1.11919E+12,36.30%,106.40%,71.5,270203917
564,552,4.9,67,United States,Dallas,Energy,TRUE,M,Warren,Kelcy,1955,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
565,552,4.9,50,China,Beijing,Fashion & Retail,TRUE,M,Zhang,Tao,1972,125.08,2.9,1.991E+13,50.60%,100.20%,77,1397715000
566,567,4.8,58,United Kingdom,Hertfordshire,Fashion & Retail,TRUE,M,Ashley,Michael,1964,119.62,1.7,2.82711E+12,60.00%,101.20%,81.3,66834405
567,567,4.8,50,Poland,"Krotoszyn,",Fashion & Retail,TRUE,M,Biernacki,Tomasz,1973,114.11,2.2,5.92164E+11,67.80%,100.00%,77.6,37970874
568,567,4.8,79,Germany,Koenigstein,Healthcare,TRUE,M,Broermann,Bernard,1943,112.85,1.4,3.84563E+12,70.20%,104.00%,80.9,83132799
569,567,4.8,69,United States,Knoxville,Fashion & Retail,FALSE,M,Haslam,Jimmy,1954,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
570,567,4.8,64,United States,Racine,Manufacturing,FALSE,M,Johnson,H. Fisk,1958,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
571,567,4.8,67,United States,Racine,Manufacturing,FALSE,M,Johnson,S. Curtis,1955,117.24,7.5,2.14277E+13,88.20%,101.80%,78.5,328239523
